"id","nom","visuel","raison_sociale","adresse1","adresse2","adresse3","code_postal","ville","latitude","longitude","SIRET","APE","RCS","agence_CTRB","licence_agrement","tel_fixe","tel_mobile","fax","email","site_web","resa_directe","type_hotel","categorie","nb_chambre_pref","nb_chambre_dispo_location","nb_chambre","nb_chambre_familiales","nb_suites","nb_chambre_pers_mobilite_reduite","nb_salle_reunion","label","chaine","description","ouverture","langue","animaux_acceptes","resa_derniere_minute","parking_autocars","groupes_acceptes","groupe_nb_mini","groupe_nb_maxi","gratuite_groupes","commissionnement_agence_voyages","mode_paiement","confort","equipement","service","activites","description_animations","tarif_mini_chambre_double_hors_petit_dej","tarif_maxi_chambre_double_hors_petit_dej","tarif_mini_chambre_familiale","tarif_maxi_chambre_familiale","tarif_mini_suite","tarif_maxi_suite","tarif_mini_petit_dej","tarif_maxi_petit_dej","tarif_mini_demi_pension","tarif_maxi_demi_pension","tarif_mini_VRP_diner_petit_dej","tarif_maxi_VRP_diner_petit_dej","tarif_mini_groupe_chambre_double_petit_dej","tarif_maxi_groupe_chambre_double_petit_dej","tarif_mini_groupe_demi_pension","tarif_maxi_groupe_demi_pension"
"1","Appart'City",,"Appart'City","23, rue Victor Hugo",,,"71100","Chalon-sur-Saône","46,752696","4,8440036",,,,,,"03 85 42 72 00",,"03 85 42 74 01","mailto: chalon-sur-saone@appartcity.com","http://www.appartcity.com","http://www.appartcity.com/apparthotel/reservation-en-ligne.htm?FSTBKNGTrackLink=SITE-BTRESID&Hotelnames=58","Résidence de Tourisme, Hôtels","3 étoiles (résidence de tourisme), 3 étoiles (nouveau classement)",,,"0",,,,,,,"Situé en centre-ville, Appart'City est doté de 78 appartements pouvant accueillir d'1 à 6 personnes : 65 studios 2 personnes, 7 grands studios 3 personnes, 4 appartements 2 pièces pour 4 personnes et 2 appartements 3 pièces pour 6 personnes.",,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"2","Appart'Hôtel Le Cours Moreau","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/177358.jpg","Appart'Hôtel Le Cours Moreau","7, cours Moreau",,,"71000","Mâcon","46,3092339","4,8334952","421 037 029 00053","6820 B",,,,"03 85 21 52 00",,"03 85 39 31 12","mailto: contact-macon@residences-apparthotel.com","http://www.residences-apparthotel.com","http://www.macon.residences-apparthotel.com","Résidence de Tourisme, Hôtels","2 étoiles",,"60.0","60","4.0",,"3.0",,,,"Située tout proche du centre ville, de la gare SNCF Mâcon Ville, du Parc des Expositions, des centres commerciaux et des principaux établissements d'enseignement supérieur, la résidence vous accueille pour vos séjours privés ou professionnels en location à la nuitée, à la semaine ou au mois. La résidence est composée de 60 appartements, du studio de 16 m² au T2 de 35 m². Pour votre confort, tous les appartements sont meublés : lit, bureau, table, chaises, placard, kitchenette équipée (vaisselle, plaque de cuisson, frigo) et comprennent une salle de bains avec douche et wc. Prestations à votre arrivée : lit fait, serviettes de toilettes installées, ligne téléphonique ouverte.","Ouvert toute l'année.","Anglais","Oui","Oui",,,,,,,,"Accès Internet, Télévision","Parking privé, Ascenseur","Wifi",,,"44.0","58.0","55","80",,,,,,,,,,,,
"3","Auberge de la Chaloire","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146246.jpg","Auberge de la Chaloire","Le Bourg",,,"71400","La Petite-Verrière","47,049371","4,1584949","41950215800019","551A",,,,"09 61 68 26 66, 03 85 54 14 10","06 65 25 51 72","03 85 54 15 21","mailto: hotel@auberge-de-la-chaloire.com","http://www.auberge-de-la-chaloire.com",,"Hôtels - restaurant","2 étoiles (hôtel), 2 étoiles (nouveau classement)","7.0","7.0","7","1.0",,,,"Aventures Mômes, Tables et Auberges de France, Qualité Tourisme",,"Situé au calme au cœur du Parc naturel régional du Morvan, à proximité de tous les sites culturels gallo-romains. Hôtel entièrement rénové. Prestations de qualité. Accueil chaleureux et familial. Cuisine maison, réputée et raffinée. Wifi gratuit. Piscine extérieure chauffée, grand jardin avec aire de jeux et terrasse.","Fermé le lundi et le mardi du 01/01 au 30/04 et du 01/10 au 31/12.","Anglais, Allemand, Néerlandais","Non","Oui","Oui","Oui","10.","20.0",,,"Chèques Vacances","Accès Internet, Télévision","Bar, Jardin, Jeux pour enfants, Local matériel fermé, Parking privé, Restaurant","Location de matériel de sport, Wifi, Location ou prêt de vélos/VTT","Piscine plein-air",,"58.0","68.0","91","118",,,"10.5","10.5","58.5","63.5","79.45","84.45","79.0","89.0","58.5","63.5"
"4","Auberge de La Croix Blanche",,"Auberge de La Croix Blanche","575, route de Bourgogne",,,"71580","Beaurepaire-en-Bresse","46,6678175","5,3869046","32890769600012","551A",,,,"03 85 74 13 22",,"03 85 74 13 25","mailto: contact@hotel-jura-bourgogne.com","http://www.hotel-jura-bourgogne.com","reservation.consolemyroom.com/reservit/avail-info.php?","Hôtels - restaurant","2 étoiles","14.0","14.0","14",,,,,,,"Une halte de dépaysement à la campagne en Bourgogne du sud. Dans le cadre d'un ancien relais de poste du XVIIème siècle, au cœur de la Bresse, ",,"Anglais, Allemand","Oui","Oui","Oui","Oui",,,,,"Chèques Vacances","Accès Internet, Câble/ satellite, Télévision","Bar, Jeux pour enfants, Parc, Parking privé, Restaurant","Service en chambre",,,,,"0","0",,,,,,,,,,,,
"5","Auberge de la Musardière","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146207.jpg","Auberge de la Musardière","30, route de Chalon",,,"71150","Chagny","46,901193","4,7576351","34913704200017","5510Z","B349137042",,,"03 85 87 04 97",,"04 69 96 55 36","mailto: auberge.musardiere@wanadoo.fr","http://www.auberge-musardiere.fr/",,"Hôtels","2 étoiles","14.0","12.0","12","3.0",,,,"Tables et Auberges de France, Qualité Tourisme",,"A mi-chemin de Beaune et Chalon-sur-Saône, La Musardière vous accueille dans un cadre de charme où vous apprécierez le confort de ses chambres et le calme de son parc ombragé.",,"Français","Oui",,,"Non",,,,"Non","Chèques Vacances","Accès Internet, Câble/ satellite, Télévision","Bar, Jardin, Parc, Parking privé","Wifi",,,"53.0","62.0","68","82",,,"8.0",,,,"65.0",,,,,
"6","Auberge de la Saule",,"Auberge de la Saule","136 A, rue Franklin Roosevelt",,,"71230","Saint-Vallier","46,6518318","4,3528159",,,,,,"03 85 57 10 71",,"03 85 57 34 91","mailto: sarl.parchotel@wanadoo.fr",,,"Hôtels - restaurant",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"7","Auberge du Cheval Blanc","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146368.jpg","Auberge du Cheval Blanc","Le Bourg",,,"71390","Saint-Boil","46,6541842","4,6840013","53457008000018",,,,,"03 85 44 03 16",,"09 74 44 96 66",,"http://www.auberge-cheval-blanc.net","http://reservation-hotel.logishotels.com/reservit/avail-info.php?userid=08789693cc49bbb09783e572081bf015bb83&hotelid=1096","Hôtels - restaurant","3 étoiles","11.0","10.0","10",,,"1.0",,"Logis, Qualité Tourisme","Logis",,,"Allemand","Oui","Oui",,"Oui",,,,,,"Télévision","Garage privé, Jardin, Parc, Parking privé, Restaurant","Wifi","Piscine plein-air",,"76.0","108.","0","0",,,,,,,,,,,,
"8","Auberge du Grison","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146225.jpg","Auberge du Grison","Prayes",,,"71460","Chissey-lès-Mâcon","46,5267518","4,7514492","42909618300018","551OZ","A429096183",,,"03 85 50 18 31",,,"mailto: aubgri@live.fr","http://www.auberge-du-grison.com",,"Hôtels - restaurant","Sans étoile","8.0","8.0","8",,,,,,,"Petit hôtel calme, à la campagne, dans un village fleuri. Accueil familial. Piscine d'été.",,,"Oui",,"Oui",,,,,,,,"Bar, Jardin, Jeux pour enfants, Local matériel fermé, Restaurant",,"Piscine plein-air",,,"35.5","0","61",,,,"5.4",,"37.0",,,,,,
"9","Auberge du Moulin de la Chapelle",,"Auberge du Moulin de la Chapelle","Le Moulin de la Chapelle",,,"71390","Messey-sur-Grosne","46,6095921","4,7093246",,,,,,"03 85 91 54 21","06 13 43 54 14",,,,,"Hôtels - restaurant","Sans étoile","9.0","9.0","9",,,,,,,,,,,,,,,,,,,,"Restaurant",,,,,,"0","0",,,,,,,,,,,,
"10","Auberge du Paradis","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146391.jpg","Auberge du Paradis","Le Plâtre Durand",,,"71570","Saint-Amour-Bellevue","46,2421141","4,7493343","40516200900014","5610A","405162009",,,"03 85 37 10 26",,,"mailto: bourgognesud@aubergeduparadis.fr","http://www.aubergeduparadis.fr",,"Hôtels - restaurant","3 étoiles","7.0","8.0","7","1.0","1.0",,,"Qualité Tourisme","Châteaux et Hôtels Collection","Un petit coin de paradis au cœur du Beaujolais, histoire d'oublier parfois l'enfer d'une brûlante journée. Nous vous invitons au voyage en commençant par goûter à la cuisine revendiquant mélange, créativité, et ",,"Anglais, Espagnol","Oui","Oui","Oui","Oui","2.0","18.0",,"Non",,"Accès Internet, Climatisation, Télévision, Wifi","Bar, Jardin, Restaurant","Service en chambre, Coffres clients, Location ou prêt de vélos/VTT","Piscine plein-air, Jacuzzi, Randonnée voie verte",,"135.","165.","127","127","250.","250.","21.0","21.0",,,,,,,,
